,Attrition_Flag
315,Attrited Customer
316,Existing Customer
317,Attrited Customer
318,Existing Customer
319,Existing Customer
320,Existing Customer
321,Attrited Customer
322,Existing Customer
323,Existing Customer
324,Existing Customer
325,Existing Customer
326,Existing Customer
327,Existing Customer
328,Existing Customer
329,Existing Customer
330,Existing Customer
331,Existing Customer
332,Existing Customer
333,Existing Customer
334,Existing Customer
335,Existing Customer
336,Existing Customer
337,Existing Customer
338,Attrited Customer
339,Existing Customer
340,Existing Customer
341,Existing Customer
342,Existing Customer
343,Existing Customer
344,Existing Customer
345,Existing Customer
346,Existing Customer
347,Existing Customer
348,Existing Customer
349,Existing Customer
350,Existing Customer
351,Existing Customer
352,Existing Customer
353,Existing Customer
354,Attrited Customer
355,Existing Customer
356,Existing Customer
357,Existing Customer
358,Existing Customer
359,Existing Customer
360,Existing Customer
361,Attrited Customer
362,Existing Customer
363,Existing Customer
364,Existing Customer
365,Existing Customer
366,Existing Customer
367,Attrited Customer
368,Existing Customer
369,Existing Customer
370,Attrited Customer
371,Existing Customer
372,Existing Customer
373,Existing Customer
374,Attrited Customer
375,Existing Customer
376,Existing Customer
377,Existing Customer
378,Existing Customer
379,Existing Customer
380,Existing Customer
381,Existing Customer
382,Attrited Customer
383,Existing Customer
384,Existing Customer
385,Existing Customer
386,Attrited Customer
387,Existing Customer
388,Attrited Customer
389,Existing Customer
390,Existing Customer
391,Existing Customer
392,Existing Customer
393,Existing Customer
394,Existing Customer
395,Existing Customer
396,Existing Customer
397,Existing Customer
398,Attrited Customer
399,Existing Customer
400,Existing Customer
401,Attrited Customer
402,Existing Customer
403,Existing Customer
404,Existing Customer
405,Existing Customer
406,Existing Customer
407,Attrited Customer
408,Existing Customer
409,Existing Customer
410,Existing Customer
411,Existing Customer
412,Existing Customer
413,Existing Customer
414,Existing Customer
415,Existing Customer
416,Existing Customer
417,Existing Customer
418,Existing Customer
419,Attrited Customer
420,Existing Customer
421,Existing Customer
422,Existing Customer
423,Existing Customer
424,Existing Customer
425,Existing Customer
426,Existing Customer
427,Existing Customer
428,Existing Customer
429,Existing Customer
430,Existing Customer
431,Existing Customer
432,Existing Customer
433,Existing Customer
434,Existing Customer
435,Existing Customer
436,Attrited Customer
437,Existing Customer
438,Existing Customer
439,Attrited Customer
440,Existing Customer
441,Existing Customer
442,Existing Customer
443,Existing Customer
444,Existing Customer
445,Existing Customer
446,Attrited Customer
447,Existing Customer
448,Existing Customer
449,Existing Customer
450,Attrited Customer
451,Attrited Customer
452,Existing Customer
453,Attrited Customer
454,Existing Customer
455,Existing Customer
456,Attrited Customer
457,Existing Customer
458,Attrited Customer
459,Existing Customer
460,Existing Customer
461,Existing Customer
462,Existing Customer
463,Existing Customer
464,Existing Customer
465,Existing Customer
466,Attrited Customer
467,Existing Customer
468,Existing Customer
469,Existing Customer
470,Existing Customer
471,Attrited Customer
472,Existing Customer
473,Existing Customer
474,Existing Customer
475,Existing Customer
476,Existing Customer
477,Existing Customer
478,Existing Customer
479,Existing Customer
480,Attrited Customer
481,Existing Customer
482,Existing Customer
483,Existing Customer
484,Existing Customer
485,Existing Customer
486,Existing Customer
487,Existing Customer
488,Existing Customer
489,Existing Customer
490,Existing Customer
491,Existing Customer
492,Existing Customer
493,Existing Customer
494,Existing Customer
495,Existing Customer
496,Attrited Customer
497,Existing Customer
498,Existing Customer
499,Existing Customer
500,Attrited Customer
501,Existing Customer
502,Attrited Customer
503,Existing Customer
504,Existing Customer
505,Existing Customer
506,Existing Customer
507,Existing Customer
508,Existing Customer
509,Existing Customer
510,Attrited Customer
511,Existing Customer
512,Existing Customer
513,Existing Customer
514,Existing Customer
515,Existing Customer
516,Existing Customer
517,Attrited Customer
518,Existing Customer
519,Existing Customer
520,Existing Customer
521,Existing Customer
522,Existing Customer
523,Existing Customer
524,Existing Customer
525,Existing Customer
526,Existing Customer
527,Attrited Customer
528,Existing Customer
529,Attrited Customer
530,Existing Customer
531,Existing Customer
532,Existing Customer
533,Attrited Customer
534,Existing Customer
535,Existing Customer
536,Existing Customer
537,Existing Customer
538,Existing Customer
539,Attrited Customer
540,Existing Customer
541,Attrited Customer
542,Existing Customer
543,Existing Customer
544,Existing Customer
545,Existing Customer
546,Existing Customer
547,Existing Customer
548,Existing Customer
549,Existing Customer
550,Attrited Customer
551,Existing Customer
552,Existing Customer
553,Existing Customer
554,Existing Customer
555,Existing Customer
556,Existing Customer
557,Existing Customer
558,Existing Customer
559,Existing Customer
560,Existing Customer
561,Existing Customer
562,Attrited Customer
563,Existing Customer
564,Existing Customer
565,Existing Customer
566,Existing Customer
567,Existing Customer
568,Existing Customer
569,Existing Customer
570,Existing Customer
571,Attrited Customer
572,Existing Customer
573,Existing Customer
574,Existing Customer
575,Existing Customer
576,Existing Customer
577,Attrited Customer
578,Existing Customer
579,Existing Customer
580,Existing Customer
581,Existing Customer
582,Existing Customer
583,Existing Customer
584,Existing Customer
585,Existing Customer
586,Existing Customer
587,Existing Customer
588,Existing Customer
589,Existing Customer
590,Existing Customer
591,Existing Customer
592,Existing Customer
593,Existing Customer
594,Existing Customer
595,Existing Customer
596,Existing Customer
597,Existing Customer
598,Existing Customer
599,Existing Customer
600,Existing Customer
601,Existing Customer
602,Attrited Customer
603,Existing Customer
604,Existing Customer
605,Existing Customer
606,Existing Customer
607,Existing Customer
608,Existing Customer
609,Existing Customer
610,Existing Customer
611,Attrited Customer
612,Attrited Customer
613,Existing Customer
614,Existing Customer
615,Existing Customer
616,Existing Customer
617,Existing Customer
618,Existing Customer
619,Existing Customer
620,Existing Customer
621,Attrited Customer
622,Existing Customer
623,Existing Customer
624,Existing Customer
625,Existing Customer
626,Existing Customer
627,Existing Customer
628,Attrited Customer
629,Existing Customer
630,Existing Customer
631,Existing Customer
632,Existing Customer
633,Existing Customer
634,Existing Customer
635,Existing Customer
636,Attrited Customer
637,Existing Customer
638,Existing Customer
639,Existing Customer
640,Attrited Customer
641,Existing Customer
642,Existing Customer
643,Attrited Customer
644,Existing Customer
645,Existing Customer
646,Existing Customer
647,Existing Customer
648,Existing Customer
649,Existing Customer
650,Existing Customer
651,Attrited Customer
652,Existing Customer
653,Existing Customer
654,Existing Customer
655,Attrited Customer
656,Existing Customer
657,Existing Customer
658,Attrited Customer
659,Existing Customer
660,Existing Customer
661,Existing Customer
662,Existing Customer
663,Existing Customer
664,Existing Customer
665,Existing Customer
666,Attrited Customer
667,Existing Customer
668,Existing Customer
669,Existing Customer
670,Existing Customer
671,Existing Customer
672,Existing Customer
673,Existing Customer
674,Existing Customer
675,Existing Customer
676,Existing Customer
677,Existing Customer
678,Existing Customer
679,Existing Customer
680,Existing Customer
681,Existing Customer
682,Existing Customer
683,Existing Customer
684,Existing Customer
685,Existing Customer
686,Existing Customer
687,Existing Customer
688,Existing Customer
689,Existing Customer
690,Existing Customer
691,Attrited Customer
692,Attrited Customer
693,Existing Customer
694,Existing Customer
695,Existing Customer
696,Existing Customer
697,Existing Customer
698,Existing Customer
699,Existing Customer
700,Existing Customer
701,Existing Customer
702,Existing Customer
703,Existing Customer
704,Existing Customer
705,Attrited Customer
706,Existing Customer
707,Attrited Customer
708,Existing Customer
709,Existing Customer
710,Attrited Customer
711,Existing Customer
712,Existing Customer
713,Existing Customer
714,Existing Customer
715,Existing Customer
716,Attrited Customer
717,Existing Customer
718,Existing Customer
719,Existing Customer
720,Existing Customer
721,Existing Customer
722,Existing Customer
723,Existing Customer
724,Existing Customer
725,Existing Customer
726,Existing Customer
727,Existing Customer
728,Existing Customer
729,Existing Customer
730,Existing Customer
731,Existing Customer
732,Existing Customer
733,Existing Customer
734,Existing Customer
735,Existing Customer
736,Existing Customer
737,Existing Customer
738,Existing Customer
739,Existing Customer
740,Existing Customer
741,Existing Customer
742,Existing Customer
743,Existing Customer
744,Existing Customer
745,Existing Customer
746,Existing Customer
747,Existing Customer
748,Attrited Customer
749,Existing Customer
750,Existing Customer
751,Existing Customer
752,Attrited Customer
753,Existing Customer
754,Existing Customer
755,Existing Customer
756,Existing Customer
757,Existing Customer
758,Existing Customer
759,Existing Customer
760,Existing Customer
761,Existing Customer
762,Existing Customer
763,Existing Customer
764,Existing Customer
765,Attrited Customer
766,Existing Customer
767,Existing Customer
768,Existing Customer
769,Attrited Customer
770,Existing Customer
771,Existing Customer
772,Existing Customer
773,Existing Customer
774,Existing Customer
775,Attrited Customer
776,Attrited Customer
777,Attrited Customer
778,Existing Customer
779,Existing Customer
780,Existing Customer
781,Existing Customer
782,Existing Customer
783,Existing Customer
784,Existing Customer
785,Existing Customer
786,Existing Customer
787,Existing Customer
788,Existing Customer
789,Existing Customer
790,Existing Customer
791,Existing Customer
792,Existing Customer
793,Attrited Customer
794,Existing Customer
795,Existing Customer
796,Existing Customer
797,Existing Customer
798,Existing Customer
799,Existing Customer
800,Existing Customer
801,Existing Customer
802,Existing Customer
803,Existing Customer
804,Existing Customer
805,Existing Customer
806,Existing Customer
807,Attrited Customer
808,Existing Customer
809,Existing Customer
810,Existing Customer
811,Existing Customer
812,Existing Customer
813,Existing Customer
814,Existing Customer
815,Existing Customer
816,Attrited Customer
817,Existing Customer
818,Existing Customer
819,Existing Customer
820,Existing Customer
821,Existing Customer
822,Existing Customer
823,Existing Customer
824,Existing Customer
825,Existing Customer
826,Existing Customer
827,Existing Customer
828,Existing Customer
829,Attrited Customer
830,Existing Customer
831,Existing Customer
832,Existing Customer
833,Existing Customer
834,Existing Customer
835,Attrited Customer
836,Existing Customer
837,Attrited Customer
838,Existing Customer
839,Attrited Customer
840,Existing Customer
841,Existing Customer
842,Existing Customer
843,Existing Customer
844,Existing Customer
845,Attrited Customer
846,Existing Customer
847,Attrited Customer
848,Existing Customer
849,Existing Customer
850,Existing Customer
851,Attrited Customer
852,Existing Customer
853,Existing Customer
854,Attrited Customer
855,Existing Customer
856,Existing Customer
857,Existing Customer
858,Existing Customer
859,Existing Customer
860,Existing Customer
861,Attrited Customer
862,Existing Customer
863,Attrited Customer
864,Existing Customer
865,Existing Customer
866,Existing Customer
867,Existing Customer
868,Existing Customer
869,Existing Customer
870,Existing Customer
871,Existing Customer
872,Attrited Customer
873,Existing Customer
874,Attrited Customer
875,Existing Customer
876,Existing Customer
877,Existing Customer
878,Existing Customer
879,Existing Customer
880,Existing Customer
881,Existing Customer
882,Existing Customer
883,Existing Customer
884,Attrited Customer
885,Existing Customer
886,Attrited Customer
887,Existing Customer
888,Existing Customer
889,Existing Customer
890,Attrited Customer
891,Existing Customer
892,Existing Customer
893,Existing Customer
894,Existing Customer
895,Existing Customer
896,Existing Customer
897,Existing Customer
898,Existing Customer
899,Existing Customer
900,Existing Customer
901,Existing Customer
902,Existing Customer
903,Attrited Customer
904,Existing Customer
905,Existing Customer
906,Attrited Customer
907,Existing Customer
908,Existing Customer
909,Existing Customer
910,Existing Customer
911,Existing Customer
912,Existing Customer
913,Existing Customer
914,Existing Customer
915,Existing Customer
916,Existing Customer
917,Existing Customer
918,Existing Customer
919,Existing Customer
920,Existing Customer
921,Existing Customer
922,Existing Customer
923,Existing Customer
924,Existing Customer
925,Existing Customer
926,Existing Customer
927,Existing Customer
928,Existing Customer
929,Existing Customer
930,Attrited Customer
931,Attrited Customer
932,Existing Customer
933,Existing Customer
934,Existing Customer
935,Existing Customer
936,Existing Customer
937,Existing Customer
938,Existing Customer
939,Attrited Customer
940,Existing Customer
941,Existing Customer
942,Existing Customer
943,Existing Customer
944,Existing Customer
945,Existing Customer
946,Existing Customer
947,Existing Customer
948,Existing Customer
949,Existing Customer
950,Existing Customer
951,Existing Customer
952,Existing Customer
953,Existing Customer
954,Existing Customer
955,Existing Customer
956,Existing Customer
957,Attrited Customer
958,Existing Customer
959,Existing Customer
960,Existing Customer
961,Existing Customer
962,Existing Customer
963,Existing Customer
964,Existing Customer
965,Existing Customer
966,Existing Customer
967,Existing Customer
968,Existing Customer
969,Existing Customer
970,Existing Customer
971,Existing Customer
972,Existing Customer
973,Existing Customer
974,Attrited Customer
975,Existing Customer
976,Existing Customer
977,Existing Customer
978,Existing Customer
979,Existing Customer
980,Existing Customer
981,Existing Customer
982,Existing Customer
983,Existing Customer
984,Existing Customer
985,Existing Customer
986,Existing Customer
987,Existing Customer
988,Existing Customer
989,Existing Customer
990,Existing Customer
991,Existing Customer
992,Existing Customer
993,Existing Customer
994,Existing Customer
995,Existing Customer
996,Existing Customer
997,Existing Customer
998,Attrited Customer
999,Existing Customer
1000,Existing Customer
1001,Existing Customer
1002,Existing Customer
1003,Existing Customer
1004,Attrited Customer
1005,Existing Customer
1006,Existing Customer
1007,Attrited Customer
1008,Existing Customer
1009,Existing Customer
1010,Existing Customer
1011,Existing Customer
1012,Existing Customer
1013,Existing Customer
1014,Existing Customer
1015,Existing Customer
1016,Existing Customer
1017,Existing Customer
1018,Existing Customer
1019,Existing Customer
1020,Existing Customer
1021,Existing Customer
1022,Existing Customer
1023,Attrited Customer
1024,Existing Customer
1025,Existing Customer
1026,Existing Customer
1027,Existing Customer
1028,Existing Customer
1029,Existing Customer
1030,Existing Customer
1031,Existing Customer
1032,Attrited Customer
1033,Existing Customer
1034,Existing Customer
1035,Existing Customer
1036,Existing Customer
1037,Attrited Customer
1038,Existing Customer
1039,Existing Customer
1040,Existing Customer
1041,Existing Customer
1042,Existing Customer
1043,Existing Customer
1044,Attrited Customer
1045,Existing Customer
1046,Existing Customer
1047,Existing Customer
1048,Existing Customer
1049,Existing Customer
1050,Existing Customer
1051,Existing Customer
1052,Existing Customer
1053,Existing Customer
1054,Existing Customer
1055,Existing Customer
1056,Existing Customer
1057,Existing Customer
1058,Existing Customer
1059,Existing Customer
1060,Attrited Customer
1061,Existing Customer
1062,Existing Customer
1063,Existing Customer
1064,Existing Customer
1065,Existing Customer
1066,Existing Customer
1067,Existing Customer
1068,Existing Customer
1069,Attrited Customer
1070,Attrited Customer
1071,Attrited Customer
1072,Existing Customer
1073,Attrited Customer
1074,Existing Customer
1075,Existing Customer
1076,Existing Customer
1077,Existing Customer
1078,Existing Customer
1079,Existing Customer
1080,Existing Customer
1081,Existing Customer
1082,Existing Customer
1083,Attrited Customer
1084,Existing Customer
1085,Existing Customer
1086,Existing Customer
1087,Existing Customer
1088,Attrited Customer
1089,Attrited Customer
1090,Existing Customer
1091,Existing Customer
1092,Existing Customer
1093,Existing Customer
1094,Existing Customer
1095,Existing Customer
1096,Existing Customer
1097,Existing Customer
1098,Existing Customer
1099,Existing Customer
1100,Existing Customer
1101,Existing Customer
1102,Existing Customer
1103,Existing Customer
1104,Existing Customer
1105,Existing Customer
1106,Existing Customer
1107,Existing Customer
1108,Existing Customer
1109,Existing Customer
1110,Attrited Customer
1111,Existing Customer
1112,Existing Customer
1113,Existing Customer
1114,Attrited Customer
1115,Attrited Customer
1116,Existing Customer
1117,Existing Customer
1118,Attrited Customer
1119,Attrited Customer
1120,Existing Customer
1121,Existing Customer
1122,Attrited Customer
1123,Existing Customer
1124,Existing Customer
1125,Existing Customer
1126,Attrited Customer
1127,Existing Customer
1128,Existing Customer
1129,Existing Customer
1130,Existing Customer
1131,Existing Customer
1132,Existing Customer
1133,Existing Customer
1134,Existing Customer
1135,Existing Customer
1136,Existing Customer
1137,Existing Customer
1138,Existing Customer
1139,Existing Customer
1140,Existing Customer
1141,Existing Customer
1142,Existing Customer
1143,Attrited Customer
1144,Existing Customer
1145,Attrited Customer
1146,Existing Customer
1147,Existing Customer
1148,Existing Customer
1149,Existing Customer
1150,Attrited Customer
1151,Existing Customer
1152,Existing Customer
1153,Existing Customer
1154,Existing Customer
1155,Existing Customer
1156,Existing Customer
1157,Existing Customer
1158,Existing Customer
1159,Existing Customer
1160,Existing Customer
1161,Attrited Customer
1162,Existing Customer
1163,Existing Customer
1164,Existing Customer
1165,Existing Customer
1166,Existing Customer
1167,Existing Customer
1168,Existing Customer
1169,Existing Customer
1170,Attrited Customer
1171,Existing Customer
1172,Existing Customer
1173,Existing Customer
1174,Existing Customer
1175,Existing Customer
1176,Existing Customer
1177,Attrited Customer
1178,Existing Customer
1179,Attrited Customer
1180,Existing Customer
1181,Attrited Customer
1182,Existing Customer
1183,Existing Customer
1184,Existing Customer
1185,Existing Customer
1186,Existing Customer
1187,Existing Customer
1188,Existing Customer
1189,Existing Customer
1190,Attrited Customer
1191,Existing Customer
1192,Existing Customer
1193,Existing Customer
1194,Existing Customer
1195,Existing Customer
1196,Existing Customer
1197,Existing Customer
1198,Existing Customer
1199,Existing Customer
1200,Existing Customer
1201,Existing Customer
1202,Attrited Customer
1203,Existing Customer
1204,Existing Customer
1205,Existing Customer
1206,Attrited Customer
1207,Existing Customer
1208,Attrited Customer
1209,Existing Customer
1210,Existing Customer
1211,Attrited Customer
1212,Existing Customer
1213,Attrited Customer
1214,Existing Customer
1215,Existing Customer
1216,Attrited Customer
1217,Existing Customer
1218,Existing Customer
1219,Existing Customer
1220,Existing Customer
1221,Existing Customer
1222,Existing Customer
1223,Existing Customer
1224,Attrited Customer
1225,Existing Customer
1226,Existing Customer
1227,Existing Customer
1228,Existing Customer
1229,Existing Customer
1230,Attrited Customer
1231,Existing Customer
1232,Existing Customer
1233,Existing Customer
1234,Existing Customer
1235,Attrited Customer
1236,Existing Customer
1237,Attrited Customer
1238,Attrited Customer
1239,Existing Customer
1240,Attrited Customer
1241,Existing Customer
1242,Existing Customer
1243,Existing Customer
1244,Existing Customer
1245,Existing Customer
1246,Existing Customer
1247,Attrited Customer
1248,Existing Customer
1249,Existing Customer
1250,Existing Customer
1251,Attrited Customer
1252,Existing Customer
1253,Existing Customer
1254,Existing Customer
1255,Existing Customer
1256,Existing Customer
1257,Existing Customer
1258,Existing Customer
1259,Existing Customer
1260,Existing Customer
1261,Existing Customer
1262,Existing Customer
1263,Existing Customer
1264,Existing Customer
1265,Existing Customer
1266,Existing Customer
1267,Existing Customer
1268,Existing Customer
1269,Existing Customer
1270,Existing Customer
1271,Existing Customer
1272,Existing Customer
1273,Existing Customer
1274,Existing Customer
1275,Existing Customer
1276,Existing Customer
1277,Existing Customer
1278,Existing Customer
1279,Existing Customer
1280,Existing Customer
1281,Existing Customer
1282,Existing Customer
1283,Attrited Customer
1284,Attrited Customer
1285,Attrited Customer
1286,Existing Customer
1287,Existing Customer
1288,Existing Customer
1289,Existing Customer
1290,Existing Customer
1291,Attrited Customer
1292,Existing Customer
1293,Attrited Customer
1294,Existing Customer
1295,Existing Customer
1296,Existing Customer
1297,Existing Customer
1298,Attrited Customer
1299,Attrited Customer
1300,Existing Customer
1301,Existing Customer
1302,Existing Customer
1303,Existing Customer
1304,Attrited Customer
1305,Existing Customer
1306,Existing Customer
1307,Existing Customer
1308,Attrited Customer
1309,Existing Customer
1310,Existing Customer
1311,Existing Customer
1312,Existing Customer
1313,Attrited Customer
1314,Existing Customer
1315,Existing Customer
1316,Existing Customer
1317,Existing Customer
1318,Existing Customer
1319,Existing Customer
1320,Existing Customer
1321,Existing Customer
1322,Existing Customer
1323,Existing Customer
1324,Attrited Customer
1325,Existing Customer
1326,Existing Customer
1327,Existing Customer
1328,Existing Customer
1329,Existing Customer
1330,Existing Customer
1331,Existing Customer
1332,Existing Customer
1333,Existing Customer
1334,Existing Customer
1335,Existing Customer
1336,Existing Customer
1337,Attrited Customer
1338,Attrited Customer
1339,Existing Customer
1340,Existing Customer
1341,Existing Customer
1342,Existing Customer
1343,Existing Customer
1344,Existing Customer
1345,Attrited Customer
1346,Existing Customer
1347,Existing Customer
1348,Existing Customer
1349,Existing Customer
1350,Existing Customer
1351,Existing Customer
1352,Existing Customer
1353,Existing Customer
1354,Existing Customer
1355,Existing Customer
1356,Existing Customer
1357,Existing Customer
1358,Existing Customer
1359,Existing Customer
1360,Existing Customer
1361,Attrited Customer
1362,Existing Customer
1363,Attrited Customer
1364,Existing Customer
1365,Existing Customer
1366,Existing Customer
1367,Existing Customer
1368,Attrited Customer
1369,Existing Customer
1370,Existing Customer
1371,Existing Customer
1372,Attrited Customer
1373,Existing Customer
1374,Attrited Customer
1375,Existing Customer
1376,Existing Customer
1377,Existing Customer
1378,Existing Customer
1379,Existing Customer
1380,Attrited Customer
1381,Existing Customer
1382,Attrited Customer
1383,Existing Customer
1384,Existing Customer
1385,Existing Customer
1386,Existing Customer
1387,Existing Customer
1388,Existing Customer
1389,Existing Customer
1390,Existing Customer
1391,Attrited Customer
1392,Existing Customer
1393,Existing Customer
1394,Existing Customer
1395,Existing Customer
1396,Existing Customer
1397,Attrited Customer
1398,Existing Customer
1399,Existing Customer
1400,Existing Customer
1401,Existing Customer
1402,Existing Customer
1403,Attrited Customer
1404,Existing Customer
1405,Existing Customer
1406,Existing Customer
1407,Existing Customer
1408,Existing Customer
1409,Existing Customer
1410,Existing Customer
1411,Existing Customer
1412,Existing Customer
1413,Existing Customer
1414,Existing Customer
1415,Existing Customer
1416,Attrited Customer
1417,Existing Customer
1418,Existing Customer
1419,Existing Customer
1420,Attrited Customer
1421,Existing Customer
1422,Existing Customer
1423,Existing Customer
1424,Existing Customer
1425,Existing Customer
1426,Existing Customer
1427,Existing Customer
1428,Existing Customer
1429,Existing Customer
1430,Attrited Customer
1431,Existing Customer
1432,Existing Customer
1433,Existing Customer
1434,Existing Customer
1435,Attrited Customer
1436,Existing Customer
1437,Existing Customer
1438,Existing Customer
1439,Existing Customer
1440,Existing Customer
1441,Existing Customer
1442,Existing Customer
1443,Attrited Customer
1444,Existing Customer
1445,Existing Customer
1446,Existing Customer
1447,Existing Customer
1448,Existing Customer
1449,Attrited Customer
1450,Existing Customer
1451,Existing Customer
1452,Existing Customer
1453,Attrited Customer
1454,Existing Customer
1455,Existing Customer
1456,Existing Customer
1457,Attrited Customer
1458,Existing Customer
1459,Attrited Customer
1460,Existing Customer
1461,Existing Customer
1462,Existing Customer
1463,Existing Customer
1464,Existing Customer
1465,Attrited Customer
1466,Existing Customer
1467,Existing Customer
1468,Existing Customer
1469,Existing Customer
1470,Existing Customer
1471,Existing Customer
1472,Existing Customer
1473,Existing Customer
1474,Existing Customer
1475,Existing Customer
