,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
22,3,3,3,1717,0.995,2538,42,0.4,0.052000000000000005,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
23,2,1,1,1351,0.785,7590,74,0.682,0.28300000000000003,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
24,4,3,3,0,0.67,2725,47,0.424,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
25,3,2,3,821,0.807,4326,67,0.8109999999999999,0.21600000000000003,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
26,4,3,3,1316,0.7040000000000001,4306,73,1.0859999999999999,0.737,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
27,1,1,2,972,0.647,14926,115,0.742,0.1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
28,1,3,3,0,0.77,4878,86,0.87,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
29,6,3,2,0,1.209,2973,63,0.9690000000000001,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
30,2,1,2,0,0.233,694,18,0.28600000000000003,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
31,3,4,2,0,0.478,1598,45,0.324,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
32,4,2,3,694,0.8440000000000001,1499,31,0.938,0.109,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
33,3,3,2,996,0.469,1454,43,0.433,0.187,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
34,3,1,2,939,0.826,15552,107,0.754,0.027000000000000003,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
35,2,2,2,0,0.91,7432,64,0.6409999999999999,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36,5,4,2,1938,0.807,2275,46,0.43799999999999994,0.055999999999999994,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
37,3,1,2,1013,0.988,5079,81,0.841,0.311,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
38,4,2,1,984,0.956,1207,32,0.684,0.051,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
39,6,2,2,492,0.204,6100,61,0.564,0.031,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
40,6,2,3,1481,0.703,4219,65,0.47700000000000004,0.065,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
41,5,1,3,2121,0.6940000000000001,4476,79,0.927,0.564,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
42,1,2,2,0,1.005,884,19,0.727,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
43,4,3,4,382,0.884,2750,51,0.594,0.175,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
44,3,1,2,0,0.7809999999999999,1336,23,0.21100000000000002,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
45,1,3,3,2517,0.77,8688,69,0.769,0.087,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
46,5,1,3,0,0.737,1813,31,0.409,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
47,4,2,1,2090,0.975,4297,88,0.833,0.703,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
48,4,1,3,762,0.982,3676,47,1.35,0.027000000000000003,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
49,1,2,1,1051,0.7290000000000001,7677,87,0.5539999999999999,0.133,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
50,3,3,1,1803,0.767,7836,87,0.5820000000000001,0.07200000000000001,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
51,4,3,3,744,0.711,2497,42,0.273,0.098,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
52,5,1,2,1952,0.8220000000000001,2651,81,0.841,0.902,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
53,6,3,2,1864,0.684,4551,65,0.667,0.071,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
54,3,2,2,0,0.975,7674,80,0.633,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
55,2,3,1,1334,0.622,4043,73,0.738,0.615,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
56,5,1,2,1434,1.423,1820,42,0.826,0.258,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
57,6,2,2,2373,0.95,4921,81,0.62,0.312,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
58,3,2,2,0,0.419,738,16,0.231,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
59,3,5,2,1218,0.593,4580,75,1.419,0.307,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
60,5,3,1,1527,0.743,4622,88,0.725,0.561,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
61,2,3,3,1919,0.5,3512,50,0.47100000000000003,0.805,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
62,6,3,4,979,1.4669999999999999,2847,61,0.968,0.602,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
63,2,1,2,0,0.516,5047,79,0.7559999999999999,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
64,3,2,2,1049,0.534,4890,64,0.561,0.071,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
65,3,3,4,1671,0.938,3587,66,0.5710000000000001,0.062,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
66,3,3,1,501,0.653,4600,69,0.6829999999999999,0.271,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
67,6,3,4,695,0.632,2456,69,0.725,0.11199999999999999,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
68,1,3,4,0,0.37,1829,41,0.519,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
69,6,3,3,1498,0.64,4569,79,0.8809999999999999,0.69,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
70,6,2,2,894,1.285,1773,39,1.053,0.051,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
71,4,2,2,1442,0.753,15026,99,0.6779999999999999,0.19,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
72,3,3,2,1591,1.409,2501,36,0.7140000000000001,0.33,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
73,3,1,3,2517,1.021,1605,43,0.344,0.7120000000000001,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
74,6,1,2,1177,0.6859999999999999,4410,84,0.826,0.6940000000000001,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
75,3,1,3,2517,0.892,1101,37,0.276,0.19699999999999998,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
76,6,2,2,1177,0.695,3124,66,0.784,0.718,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
77,4,2,3,2517,0.405,1718,37,0.276,0.647,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
78,4,2,2,1394,0.57,1788,45,0.364,0.633,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
79,2,3,3,1143,0.6609999999999999,7300,77,0.638,0.115,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
80,3,1,2,1747,0.691,1346,30,1.308,0.722,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
81,5,1,3,869,1.038,4297,64,0.778,0.24600000000000002,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
82,6,2,1,0,0.795,4396,70,0.628,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
83,1,2,2,2016,0.7090000000000001,7685,84,0.527,0.134,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
84,6,4,4,1180,1.0,3740,68,0.7,0.373,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
85,3,3,4,0,0.43,4498,73,0.622,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
86,6,5,2,1156,0.611,4338,73,0.738,0.152,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
87,3,2,3,0,0.626,2439,63,0.703,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
88,6,3,4,1195,0.556,2255,48,0.5,0.34,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
89,4,2,2,2400,1.296,1557,25,1.778,0.81,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
90,6,2,2,1417,0.6920000000000001,16579,109,0.879,0.040999999999999995,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
91,4,3,4,1654,0.618,3192,61,0.848,0.322,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
92,6,1,2,2517,0.7140000000000001,3052,63,0.75,0.9420000000000001,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
93,3,3,4,1847,0.627,3480,64,0.6,0.715,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
94,2,3,2,503,0.9179999999999999,7886,70,0.75,0.048,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
95,6,2,3,0,0.838,1682,44,1.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
96,6,3,0,1605,0.5710000000000001,2468,44,0.419,0.17300000000000001,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
97,3,2,3,1980,0.616,1409,34,0.619,0.162,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
98,3,3,1,0,1.129,909,14,0.273,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
99,3,1,2,1924,0.46799999999999997,3000,64,0.6409999999999999,0.098,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
100,3,2,2,1429,0.728,3536,71,0.69,0.153,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
101,3,2,1,1209,0.594,2803,61,0.605,0.573,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
102,4,2,2,2300,0.716,2529,71,0.578,0.092,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
103,4,2,2,1257,0.7240000000000001,3819,76,0.617,0.06,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
104,1,3,2,1664,0.889,8019,57,0.583,0.09,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
105,6,3,4,1749,0.57,2068,34,0.619,0.512,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
106,3,3,2,1773,0.879,1509,45,0.667,0.345,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
107,5,2,2,0,1.369,3059,50,0.613,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
108,1,2,3,1198,0.615,4826,70,0.667,0.035,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
109,5,3,3,0,1.065,1970,40,0.818,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
110,4,2,1,2231,0.708,3692,84,0.647,0.19899999999999998,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
111,6,2,0,917,0.84,4211,66,0.61,0.20199999999999999,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
112,3,3,3,2049,0.501,3818,61,0.605,0.7020000000000001,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
113,6,3,2,1692,0.701,1233,29,0.611,0.231,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
114,1,3,2,1518,0.726,14459,97,0.7020000000000001,0.17,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
115,2,1,2,491,0.73,5102,83,0.6940000000000001,0.341,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
116,1,2,3,230,0.779,7844,64,0.73,0.057,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
117,2,1,1,1634,0.7759999999999999,8300,94,0.469,0.474,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
118,6,2,3,0,0.534,3530,68,0.659,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
119,2,2,3,1627,0.66,8360,94,0.843,0.048,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
120,4,2,3,2517,0.75,16401,121,0.8059999999999999,0.6729999999999999,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
121,6,5,3,1355,0.9259999999999999,4474,58,1.32,0.787,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
122,3,3,3,1467,0.696,7409,89,0.679,0.067,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
123,2,3,1,1659,0.8420000000000001,13557,100,0.7240000000000001,0.49,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
124,5,3,3,808,0.7809999999999999,2036,50,0.613,0.14300000000000002,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
125,4,3,2,0,0.5489999999999999,3912,72,0.565,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
126,4,3,3,1169,0.6890000000000001,4739,76,0.81,0.48,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
127,6,2,4,1300,0.914,2739,65,0.912,0.053,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
128,1,3,3,0,0.644,2264,47,0.516,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
129,4,2,4,1880,0.7879999999999999,1859,33,0.5710000000000001,0.098,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
130,4,2,2,613,0.868,2326,31,0.55,0.369,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
131,4,4,3,1416,0.868,5653,79,0.927,0.772,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
132,4,2,2,0,1.05,4226,73,0.521,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
133,1,2,3,0,0.8109999999999999,4751,93,0.86,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
134,5,2,4,2517,0.488,1339,29,0.381,0.105,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
135,6,2,1,674,2.18,1717,31,0.722,0.469,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
136,3,3,2,0,1.035,922,25,0.562,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
137,4,2,1,1788,0.523,4908,71,1.1520000000000001,0.795,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
138,6,2,4,0,0.945,2412,58,0.657,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
139,6,3,3,0,0.7859999999999999,5154,80,0.778,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
140,6,1,3,1444,0.664,3410,69,0.6829999999999999,0.408,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
141,3,4,3,932,0.768,4823,62,0.8240000000000001,0.384,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
142,3,3,4,0,0.545,1611,42,0.4,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
143,4,3,0,2517,0.652,2545,64,0.778,0.73,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
144,5,2,3,1180,0.7440000000000001,2013,41,0.36700000000000005,0.6709999999999999,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
145,4,4,0,1694,0.76,4803,72,0.532,0.96,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
146,6,2,0,0,0.61,1209,39,0.3,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
147,2,1,2,2448,0.862,14330,116,0.6809999999999999,0.44299999999999995,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
148,2,2,2,2156,0.698,8766,78,0.8140000000000001,0.062,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
149,3,1,2,0,0.57,4136,65,0.912,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
150,5,3,2,1105,0.735,4186,77,0.711,0.46,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
151,4,3,3,1670,0.735,3129,79,0.8370000000000001,0.071,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
152,1,2,3,0,0.39299999999999996,1998,36,0.161,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
153,2,3,3,0,0.721,4564,79,0.7170000000000001,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
154,5,2,3,0,0.723,1742,41,0.32299999999999995,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
155,2,2,2,925,0.946,5481,58,0.758,0.321,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
156,5,2,0,2424,0.517,4077,78,0.625,0.94,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
157,2,2,0,2363,0.75,1295,40,0.6,0.843,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
158,4,3,1,0,0.713,7886,64,0.882,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
159,2,2,3,0,0.81,4928,84,0.909,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
160,2,3,2,965,0.9279999999999999,3300,58,0.568,0.306,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
161,5,3,2,1664,0.9159999999999999,3489,58,0.611,0.064,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
162,5,2,3,304,0.965,4691,63,0.465,0.017,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
163,2,2,2,1997,0.718,7766,82,0.745,0.13699999999999998,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
164,6,3,2,1519,0.45799999999999996,4444,70,0.667,0.263,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
165,3,3,0,1113,0.7170000000000001,1757,45,0.607,0.275,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
166,6,2,1,2001,0.547,4477,83,0.66,0.122,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
167,1,1,3,1523,0.8690000000000001,14321,113,0.794,0.14800000000000002,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
168,1,1,3,2151,0.64,7123,94,0.49200000000000005,0.33399999999999996,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
169,6,3,1,1483,0.902,4286,71,0.614,0.299,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
170,3,1,2,1753,0.55,4292,76,0.652,0.39799999999999996,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
171,2,2,3,1783,0.821,8472,80,0.7390000000000001,0.052000000000000005,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
